run_id,alpha,gamma,use_audio_prompt,output_path,duration_s,status
a0.00_g0.00,0.0,0.0,False,grid_search_output\a0.00_g0.00\stylized_g0.0_a0.0_uncond.wav,10.0,ok
a0.00_g0.14,0.0,0.1429,False,grid_search_output\a0.00_g0.14\stylized_g0.1429_a0.0_uncond.wav,9.8,ok
a0.00_g0.29,0.0,0.2857,False,grid_search_output\a0.00_g0.29\stylized_g0.2857_a0.0_uncond.wav,9.6,ok
a0.00_g0.43,0.0,0.4286,False,grid_search_output\a0.00_g0.43\stylized_g0.4286_a0.0_uncond.wav,9.4,ok
a0.00_g0.57,0.0,0.5714,False,grid_search_output\a0.00_g0.57\stylized_g0.5714_a0.0_uncond.wav,9.7,ok
a0.00_g0.71,0.0,0.7143,False,grid_search_output\a0.00_g0.71\stylized_g0.7143_a0.0_uncond.wav,9.9,ok
a0.00_g0.86,0.0,0.8571,False,grid_search_output\a0.00_g0.86\stylized_g0.8571_a0.0_uncond.wav,9.1,ok
a0.00_g1.00,0.0,1.0,False,grid_search_output\a0.00_g1.00\stylized_g1.0_a0.0_uncond.wav,9.1,ok
a0.14_g0.00,0.1429,0.0,False,grid_search_output\a0.14_g0.00\stylized_g0.0_a0.1429_uncond.wav,9.1,ok
a0.14_g0.14,0.1429,0.1429,False,grid_search_output\a0.14_g0.14\stylized_g0.1429_a0.1429_uncond.wav,9.1,ok
a0.14_g0.29,0.1429,0.2857,False,grid_search_output\a0.14_g0.29\stylized_g0.2857_a0.1429_uncond.wav,9.1,ok
a0.14_g0.43,0.1429,0.4286,False,grid_search_output\a0.14_g0.43\stylized_g0.4286_a0.1429_uncond.wav,9.3,ok
a0.14_g0.57,0.1429,0.5714,False,grid_search_output\a0.14_g0.57\stylized_g0.5714_a0.1429_uncond.wav,9.6,ok
a0.14_g0.71,0.1429,0.7143,False,grid_search_output\a0.14_g0.71\stylized_g0.7143_a0.1429_uncond.wav,9.5,ok
a0.14_g0.86,0.1429,0.8571,False,grid_search_output\a0.14_g0.86\stylized_g0.8571_a0.1429_uncond.wav,9.6,ok
a0.14_g1.00,0.1429,1.0,False,grid_search_output\a0.14_g1.00\stylized_g1.0_a0.1429_uncond.wav,9.3,ok
a0.29_g0.00,0.2857,0.0,False,grid_search_output\a0.29_g0.00\stylized_g0.0_a0.2857_uncond.wav,9.2,ok
a0.29_g0.14,0.2857,0.1429,False,grid_search_output\a0.29_g0.14\stylized_g0.1429_a0.2857_uncond.wav,9.2,ok
a0.29_g0.29,0.2857,0.2857,False,grid_search_output\a0.29_g0.29\stylized_g0.2857_a0.2857_uncond.wav,9.2,ok
a0.29_g0.43,0.2857,0.4286,False,grid_search_output\a0.29_g0.43\stylized_g0.4286_a0.2857_uncond.wav,9.1,ok
a0.29_g0.57,0.2857,0.5714,False,grid_search_output\a0.29_g0.57\stylized_g0.5714_a0.2857_uncond.wav,9.1,ok
a0.29_g0.71,0.2857,0.7143,False,grid_search_output\a0.29_g0.71\stylized_g0.7143_a0.2857_uncond.wav,9.3,ok
a0.29_g0.86,0.2857,0.8571,False,grid_search_output\a0.29_g0.86\stylized_g0.8571_a0.2857_uncond.wav,9.2,ok
a0.29_g1.00,0.2857,1.0,False,grid_search_output\a0.29_g1.00\stylized_g1.0_a0.2857_uncond.wav,9.2,ok
a0.43_g0.00,0.4286,0.0,False,grid_search_output\a0.43_g0.00\stylized_g0.0_a0.4286_uncond.wav,9.1,ok
a0.43_g0.14,0.4286,0.1429,False,grid_search_output\a0.43_g0.14\stylized_g0.1429_a0.4286_uncond.wav,9.8,ok
a0.43_g0.29,0.4286,0.2857,False,grid_search_output\a0.43_g0.29\stylized_g0.2857_a0.4286_uncond.wav,10.5,ok
a0.43_g0.43,0.4286,0.4286,False,grid_search_output\a0.43_g0.43\stylized_g0.4286_a0.4286_uncond.wav,10.5,ok
a0.43_g0.57,0.4286,0.5714,False,grid_search_output\a0.43_g0.57\stylized_g0.5714_a0.4286_uncond.wav,9.8,ok
a0.43_g0.71,0.4286,0.7143,False,grid_search_output\a0.43_g0.71\stylized_g0.7143_a0.4286_uncond.wav,9.1,ok
a0.43_g0.86,0.4286,0.8571,False,grid_search_output\a0.43_g0.86\stylized_g0.8571_a0.4286_uncond.wav,9.0,ok
a0.43_g1.00,0.4286,1.0,False,grid_search_output\a0.43_g1.00\stylized_g1.0_a0.4286_uncond.wav,9.2,ok
a0.57_g0.00,0.5714,0.0,False,grid_search_output\a0.57_g0.00\stylized_g0.0_a0.5714_uncond.wav,10.5,ok
a0.57_g0.14,0.5714,0.1429,False,grid_search_output\a0.57_g0.14\stylized_g0.1429_a0.5714_uncond.wav,10.0,ok
